Month,Day of Week,Portion of Day,Purpose,Start Location Type,End Location Type,Total Commutes
May,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,237
May,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Work,253
May,Saturday,Afternoon,Recreation (Social Gathering),Home,Pub,1021
May,Saturday,Evening,Going Back to Home,Pub,Home,2075
May,Saturday,Evening,Eating,Home,Restaurant,1106
May,Saturday,Evening,Eating,Work,Restaurant,191
May,Saturday,Evening,Eating,Pub,Restaurant,273
May,Saturday,Evening,Coming Back From Restaurant,Restaurant,Home,1228
May,Saturday,Evening,Coming Back From Restaurant,Restaurant,Pub,279
May,Saturday,Evening,Coming Back From Restaurant,Restaurant,Work,233
May,Saturday,Evening,Recreation (Social Gathering),Home,Pub,2170
May,Saturday,Evening,Work/Home Commute,Work,Home,749
May,Saturday,Night,Going Back to Home,Pub,Home,3175
May,Saturday,Night,Going Back to Home,Restaurant,Home,64
May,Saturday,Night,Coming Back From Restaurant,Restaurant,Home,973
May,Saturday,Night,Coming Back From Restaurant,Restaurant,Pub,350
May,Saturday,Night,Eating,Home,Restaurant,886
May,Saturday,Night,Eating,Pub,Restaurant,324
May,Saturday,Night,Recreation (Social Gathering),Home,Pub,2208
June,Wednesday,Morning,Eating,Pub,Restaurant,8
June,Wednesday,Morning,Eating,Home,Restaurant,137
June,Wednesday,Morning,Eating,Work,Restaurant,489
June,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Pub,7
June,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Home,132
June,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Work,225
June,Wednesday,Morning,Recreation (Social Gathering),Home,Pub,115
June,Wednesday,Morning,Going Back to Home,Pub,Home,222
June,Wednesday,Morning,Going Back to Home,Restaurant,Home,6
June,Wednesday,Morning,Work/Home Commute,Home,Work,4165
June,Wednesday,Afternoon,Eating,Work,Restaurant,1678
June,Wednesday,Afternoon,Eating,Home,Restaurant,24
June,Wednesday,Afternoon,Eating,Pub,Restaurant,1
June,Wednesday,Afternoon,Going Back to Home,Pub,Home,37
June,Wednesday,Afternoon,Recreation (Social Gathering),Home,Pub,42
June,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Work,1642
June,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Home,27
June,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,4
June,Wednesday,Evening,Eating,Work,Restaurant,1115
June,Wednesday,Evening,Eating,Home,Restaurant,437
June,Wednesday,Evening,Eating,Pub,Restaurant,63
June,Wednesday,Evening,Going Back to Home,Pub,Home,117
June,Wednesday,Evening,Coming Back From Restaurant,Restaurant,Home,298
June,Wednesday,Evening,Coming Back From Restaurant,Restaurant,Work,1413
June,Wednesday,Evening,Coming Back From Restaurant,Restaurant,Pub,40
June,Wednesday,Evening,Work/Home Commute,Work,Home,4151
June,Wednesday,Evening,Recreation (Social Gathering),Home,Pub,663
June,Wednesday,Night,Going Back to Home,Pub,Home,1539
June,Wednesday,Night,Going Back to Home,Restaurant,Home,60
June,Wednesday,Night,Recreation (Social Gathering),Home,Pub,1103
June,Wednesday,Night,Eating,Pub,Restaurant,179
June,Wednesday,Night,Eating,Home,Restaurant,691
June,Wednesday,Night,Coming Back From Restaurant,Restaurant,Home,774
June,Wednesday,Night,Coming Back From Restaurant,Restaurant,Pub,187
June,Wednesday,Night,Coming Back From Restaurant,Restaurant,Work,2
June,Wednesday,Night,Work/Home Commute,Work,Home,14
June,Thursday,Morning,Eating,Home,Restaurant,105
June,Thursday,Morning,Eating,Work,Restaurant,504
June,Thursday,Morning,Eating,Pub,Restaurant,16
June,Thursday,Morning,Recreation (Social Gathering),Home,Pub,161
June,Thursday,Morning,Coming Back From Restaurant,Restaurant,Home,103
June,Thursday,Morning,Coming Back From Restaurant,Restaurant,Pub,9
June,Thursday,Morning,Coming Back From Restaurant,Restaurant,Work,239
June,Thursday,Morning,Going Back to Home,Pub,Home,240
June,Thursday,Morning,Going Back to Home,Restaurant,Home,17
June,Thursday,Morning,Work/Home Commute,Home,Work,4210
June,Thursday,Afternoon,Going Back to Home,Pub,Home,55
June,Thursday,Afternoon,Eating,Work,Restaurant,1666
June,Thursday,Afternoon,Eating,Pub,Restaurant,12
June,Thursday,Afternoon,Eating,Home,Restaurant,28
June,Thursday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,14
June,Thursday,Afternoon,Coming Back From Restaurant,Restaurant,Work,1636
June,Thursday,Afternoon,Coming Back From Restaurant,Restaurant,Home,21
June,Thursday,Afternoon,Recreation (Social Gathering),Home,Pub,50
June,Thursday,Evening,Eating,Work,Restaurant,1133
June,Thursday,Evening,Eating,Home,Restaurant,430
June,Thursday,Evening,Eating,Pub,Restaurant,64
June,Thursday,Evening,Going Back to Home,Pub,Home,135
June,Thursday,Evening,Coming Back From Restaurant,Restaurant,Pub,30
June,Thursday,Evening,Coming Back From Restaurant,Restaurant,Work,1426
June,Thursday,Evening,Coming Back From Restaurant,Restaurant,Home,299
June,Thursday,Evening,Work/Home Commute,Work,Home,4198
June,Thursday,Evening,Recreation (Social Gathering),Home,Pub,798
June,Thursday,Night,Going Back to Home,Pub,Home,1872
June,Thursday,Night,Going Back to Home,Restaurant,Home,59
June,Thursday,Night,Coming Back From Restaurant,Restaurant,Pub,250
June,Thursday,Night,Coming Back From Restaurant,Restaurant,Home,735
June,Thursday,Night,Coming Back From Restaurant,Restaurant,Work,2
June,Thursday,Night,Eating,Home,Restaurant,654
June,Thursday,Night,Eating,Pub,Restaurant,227
June,Thursday,Night,Recreation (Social Gathering),Home,Pub,1338
June,Thursday,Night,Work/Home Commute,Work,Home,12
June,Friday,Morning,Recreation (Social Gathering),Home,Pub,102
June,Friday,Morning,Eating,Home,Restaurant,79
June,Friday,Morning,Eating,Work,Restaurant,398
June,Friday,Morning,Eating,Pub,Restaurant,6
June,Friday,Morning,Going Back to Home,Pub,Home,220
June,Friday,Morning,Going Back to Home,Restaurant,Home,2
June,Friday,Morning,Coming Back From Restaurant,Restaurant,Home,83
June,Friday,Morning,Coming Back From Restaurant,Restaurant,Pub,7
June,Friday,Morning,Coming Back From Restaurant,Restaurant,Work,187
June,Friday,Morning,Work/Home Commute,Home,Work,3380
June,Friday,Afternoon,Eating,Work,Restaurant,1325
June,Friday,Afternoon,Eating,Pub,Restaurant,6
June,Friday,Afternoon,Eating,Home,Restaurant,26
June,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Home,23
June,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,4
June,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Work,1288
June,Friday,Afternoon,Going Back to Home,Pub,Home,31
June,Friday,Afternoon,Recreation (Social Gathering),Home,Pub,29
June,Friday,Evening,Eating,Work,Restaurant,921
June,Friday,Evening,Eating,Home,Restaurant,324
June,Friday,Evening,Eating,Pub,Restaurant,56
June,Friday,Evening,Going Back to Home,Pub,Home,107
June,Friday,Evening,Coming Back From Restaurant,Restaurant,Pub,26
June,Friday,Evening,Coming Back From Restaurant,Restaurant,Work,1167
June,Friday,Evening,Coming Back From Restaurant,Restaurant,Home,219
June,Friday,Evening,Work/Home Commute,Work,Home,3370
June,Friday,Evening,Recreation (Social Gathering),Home,Pub,714
June,Friday,Night,Going Back to Home,Pub,Home,1668
June,Friday,Night,Going Back to Home,Restaurant,Home,41
June,Friday,Night,Eating,Home,Restaurant,492
June,Friday,Night,Eating,Pub,Restaurant,167
June,Friday,Night,Coming Back From Restaurant,Restaurant,Work,2
June,Friday,Night,Coming Back From Restaurant,Restaurant,Pub,187
June,Friday,Night,Coming Back From Restaurant,Restaurant,Home,569
June,Friday,Night,Recreation (Social Gathering),Home,Pub,1197
June,Friday,Night,Work/Home Commute,Work,Home,10
June,Saturday,Morning,Eating,Home,Restaurant,1753
June,Saturday,Morning,Eating,Pub,Restaurant,53
June,Saturday,Morning,Eating,Work,Restaurant,76
June,Saturday,Morning,Recreation (Social Gathering),Home,Pub,2058
June,Saturday,Morning,Coming Back From Restaurant,Restaurant,Home,1628
June,Saturday,Morning,Coming Back From Restaurant,Restaurant,Pub,29
June,Saturday,Morning,Coming Back From Restaurant,Restaurant,Work,43
June,Saturday,Morning,Going Back to Home,Pub,Home,1465
June,Saturday,Morning,Going Back to Home,Restaurant,Home,92
June,Saturday,Morning,Work/Home Commute,Home,Work,428
June,Saturday,Afternoon,Recreation (Social Gathering),Home,Pub,624
June,Saturday,Afternoon,Going Back to Home,Pub,Home,649
June,Saturday,Afternoon,Eating,Pub,Restaurant,160
June,Saturday,Afternoon,Eating,Home,Restaurant,457
June,Saturday,Afternoon,Eating,Work,Restaurant,139
June,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,147
June,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Home,366
June,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Work,148
June,Saturday,Evening,Going Back to Home,Pub,Home,1282
June,Saturday,Evening,Eating,Home,Restaurant,596
June,Saturday,Evening,Eating,Work,Restaurant,110
June,Saturday,Evening,Eating,Pub,Restaurant,172
June,Saturday,Evening,Coming Back From Restaurant,Restaurant,Pub,173
June,Saturday,Evening,Coming Back From Restaurant,Restaurant,Home,653
June,Saturday,Evening,Coming Back From Restaurant,Restaurant,Work,134
June,Saturday,Evening,Recreation (Social Gathering),Home,Pub,1336
June,Saturday,Evening,Work/Home Commute,Work,Home,427
June,Saturday,Night,Going Back to Home,Pub,Home,1922
June,Saturday,Night,Going Back to Home,Restaurant,Home,52
June,Saturday,Night,Eating,Pub,Restaurant,186
June,Saturday,Night,Eating,Home,Restaurant,465
June,Saturday,Night,Coming Back From Restaurant,Restaurant,Home,494
June,Saturday,Night,Coming Back From Restaurant,Restaurant,Pub,201
June,Saturday,Night,Recreation (Social Gathering),Home,Pub,1323
June,Saturday,Night,Work/Home Commute,Work,Home,1
June,Sunday,Morning,Eating,Home,Restaurant,1744
June,Sunday,Morning,Eating,Pub,Restaurant,32
June,Sunday,Morning,Eating,Work,Restaurant,65
June,Sunday,Morning,Going Back to Home,Pub,Home,1412
June,Sunday,Morning,Going Back to Home,Restaurant,Home,90
June,Sunday,Morning,Recreation (Social Gathering),Home,Pub,1925
June,Sunday,Morning,Coming Back From Restaurant,Restaurant,Home,1607
June,Sunday,Morning,Coming Back From Restaurant,Restaurant,Pub,22
June,Sunday,Morning,Coming Back From Restaurant,Restaurant,Work,45
June,Sunday,Morning,Work/Home Commute,Home,Work,416
June,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Home,376
June,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,98
June,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Work,138
June,Sunday,Afternoon,Going Back to Home,Pub,Home,589
June,Sunday,Afternoon,Eating,Pub,Restaurant,147
June,Sunday,Afternoon,Eating,Work,Restaurant,154
June,Sunday,Afternoon,Eating,Home,Restaurant,469
June,Sunday,Afternoon,Recreation (Social Gathering),Home,Pub,587
June,Sunday,Evening,Going Back to Home,Pub,Home,1195
June,Sunday,Evening,Coming Back From Restaurant,Restaurant,Home,703
June,Sunday,Evening,Coming Back From Restaurant,Restaurant,Pub,210
June,Sunday,Evening,Coming Back From Restaurant,Restaurant,Work,137
June,Sunday,Evening,Eating,Work,Restaurant,101
June,Sunday,Evening,Eating,Home,Restaurant,636
June,Sunday,Evening,Eating,Pub,Restaurant,173
June,Sunday,Evening,Recreation (Social Gathering),Home,Pub,1236
June,Sunday,Evening,Work/Home Commute,Work,Home,412
June,Sunday,Night,Going Back to Home,Pub,Home,1808
June,Sunday,Night,Going Back to Home,Restaurant,Home,41
June,Sunday,Night,Recreation (Social Gathering),Home,Pub,1254
June,Sunday,Night,Eating,Pub,Restaurant,179
June,Sunday,Night,Eating,Home,Restaurant,494
June,Sunday,Night,Coming Back From Restaurant,Restaurant,Pub,190
June,Sunday,Night,Coming Back From Restaurant,Restaurant,Home,536
June,Sunday,Night,Work/Home Commute,Work,Home,4
June,Monday,Morning,Eating,Home,Restaurant,91
June,Monday,Morning,Eating,Work,Restaurant,425
June,Monday,Morning,Eating,Pub,Restaurant,1
June,Monday,Morning,Recreation (Social Gathering),Home,Pub,110
June,Monday,Morning,Coming Back From Restaurant,Restaurant,Pub,4
June,Monday,Morning,Coming Back From Restaurant,Restaurant,Home,98
June,Monday,Morning,Coming Back From Restaurant,Restaurant,Work,214
June,Monday,Morning,Going Back to Home,Pub,Home,211
June,Monday,Morning,Going Back to Home,Restaurant,Home,5
June,Monday,Morning,Work/Home Commute,Home,Work,3336
June,Monday,Afternoon,Going Back to Home,Pub,Home,38
June,Monday,Afternoon,Eating,Work,Restaurant,1316
June,Monday,Afternoon,Eating,Home,Restaurant,30
June,Monday,Afternoon,Eating,Pub,Restaurant,11
June,Monday,Afternoon,Recreation (Social Gathering),Home,Pub,37
June,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Home,17
June,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,9
June,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Work,1299
June,Monday,Evening,Coming Back From Restaurant,Restaurant,Home,252
June,Monday,Evening,Coming Back From Restaurant,Restaurant,Work,1121
June,Monday,Evening,Coming Back From Restaurant,Restaurant,Pub,23
June,Monday,Evening,Eating,Work,Restaurant,895
June,Monday,Evening,Eating,Home,Restaurant,358
June,Monday,Evening,Eating,Pub,Restaurant,41
June,Monday,Evening,Going Back to Home,Pub,Home,118
June,Monday,Evening,Work/Home Commute,Work,Home,3328
June,Monday,Evening,Recreation (Social Gathering),Home,Pub,640
June,Monday,Night,Going Back to Home,Pub,Home,1467
June,Monday,Night,Going Back to Home,Restaurant,Home,52
June,Monday,Night,Recreation (Social Gathering),Home,Pub,1048
June,Monday,Night,Coming Back From Restaurant,Restaurant,Pub,174
June,Monday,Night,Coming Back From Restaurant,Restaurant,Home,605
June,Monday,Night,Coming Back From Restaurant,Restaurant,Work,2
June,Monday,Night,Eating,Home,Restaurant,537
June,Monday,Night,Eating,Pub,Restaurant,168
June,Monday,Night,Work/Home Commute,Work,Home,8
June,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Pub,5
June,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Home,100
June,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Work,209
June,Tuesday,Morning,Eating,Pub,Restaurant,6
June,Tuesday,Morning,Eating,Home,Restaurant,103
June,Tuesday,Morning,Eating,Work,Restaurant,427
June,Tuesday,Morning,Recreation (Social Gathering),Home,Pub,92
June,Tuesday,Morning,Going Back to Home,Pub,Home,193
June,Tuesday,Morning,Going Back to Home,Restaurant,Home,12
June,Tuesday,Morning,Work/Home Commute,Home,Work,3340
June,Tuesday,Afternoon,Going Back to Home,Pub,Home,26
June,Tuesday,Afternoon,Eating,Work,Restaurant,1336
June,Tuesday,Afternoon,Eating,Pub,Restaurant,3
June,Tuesday,Afternoon,Eating,Home,Restaurant,25
June,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,4
June,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Home,22
June,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Work,1326
June,Tuesday,Afternoon,Recreation (Social Gathering),Home,Pub,29
June,Tuesday,Evening,Eating,Work,Restaurant,882
June,Tuesday,Evening,Eating,Home,Restaurant,337
June,Tuesday,Evening,Eating,Pub,Restaurant,52
June,Tuesday,Evening,Going Back to Home,Pub,Home,98
June,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Home,223
June,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Pub,30
June,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Work,1109
June,Tuesday,Evening,Work/Home Commute,Work,Home,3331
June,Tuesday,Evening,Recreation (Social Gathering),Home,Pub,557
June,Tuesday,Night,Recreation (Social Gathering),Home,Pub,934
June,Tuesday,Night,Going Back to Home,Pub,Home,1304
June,Tuesday,Night,Going Back to Home,Restaurant,Home,50
June,Tuesday,Night,Coming Back From Restaurant,Restaurant,Home,606
June,Tuesday,Night,Coming Back From Restaurant,Restaurant,Work,1
June,Tuesday,Night,Coming Back From Restaurant,Restaurant,Pub,155
June,Tuesday,Night,Eating,Pub,Restaurant,141
June,Tuesday,Night,Eating,Home,Restaurant,535
June,Tuesday,Night,Work/Home Commute,Work,Home,9
July,Friday,Morning,Eating,Home,Restaurant,90
July,Friday,Morning,Eating,Work,Restaurant,512
July,Friday,Morning,Eating,Pub,Restaurant,9
July,Friday,Morning,Recreation (Social Gathering),Home,Pub,103
July,Friday,Morning,Coming Back From Restaurant,Restaurant,Home,89
July,Friday,Morning,Coming Back From Restaurant,Restaurant,Pub,9
July,Friday,Morning,Coming Back From Restaurant,Restaurant,Work,245
July,Friday,Morning,Going Back to Home,Pub,Home,232
July,Friday,Morning,Going Back to Home,Restaurant,Home,4
July,Friday,Morning,Work/Home Commute,Home,Work,4225
July,Friday,Afternoon,Eating,Work,Restaurant,1653
July,Friday,Afternoon,Eating,Home,Restaurant,35
July,Friday,Afternoon,Eating,Pub,Restaurant,7
July,Friday,Afternoon,Going Back to Home,Pub,Home,26
July,Friday,Afternoon,Recreation (Social Gathering),Home,Pub,32
July,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Work,1609
July,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Home,29
July,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,3
July,Friday,Evening,Eating,Work,Restaurant,1148
July,Friday,Evening,Eating,Home,Restaurant,409
July,Friday,Evening,Eating,Pub,Restaurant,60
July,Friday,Evening,Going Back to Home,Pub,Home,128
July,Friday,Evening,Work/Home Commute,Work,Home,4212
July,Friday,Evening,Coming Back From Restaurant,Restaurant,Work,1457
July,Friday,Evening,Coming Back From Restaurant,Restaurant,Pub,34
July,Friday,Evening,Coming Back From Restaurant,Restaurant,Home,285
July,Friday,Evening,Recreation (Social Gathering),Home,Pub,822
July,Friday,Night,Going Back to Home,Pub,Home,1996
July,Friday,Night,Going Back to Home,Restaurant,Home,61
July,Friday,Night,Coming Back From Restaurant,Restaurant,Pub,227
July,Friday,Night,Coming Back From Restaurant,Restaurant,Work,2
July,Friday,Night,Coming Back From Restaurant,Restaurant,Home,736
July,Friday,Night,Eating,Pub,Restaurant,210
July,Friday,Night,Eating,Home,Restaurant,659
July,Friday,Night,Recreation (Social Gathering),Home,Pub,1446
July,Friday,Night,Work/Home Commute,Work,Home,13
July,Saturday,Morning,Eating,Home,Restaurant,2196
July,Saturday,Morning,Eating,Pub,Restaurant,66
July,Saturday,Morning,Eating,Work,Restaurant,90
July,Saturday,Morning,Recreation (Social Gathering),Home,Pub,2341
July,Saturday,Morning,Coming Back From Restaurant,Restaurant,Pub,27
July,Saturday,Morning,Coming Back From Restaurant,Restaurant,Home,2035
July,Saturday,Morning,Coming Back From Restaurant,Restaurant,Work,57
July,Saturday,Morning,Going Back to Home,Pub,Home,1667
July,Saturday,Morning,Going Back to Home,Restaurant,Home,106
July,Saturday,Morning,Work/Home Commute,Home,Work,535
July,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Home,487
July,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,173
July,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Work,178
July,Saturday,Afternoon,Going Back to Home,Pub,Home,760
July,Saturday,Afternoon,Eating,Pub,Restaurant,170
July,Saturday,Afternoon,Eating,Work,Restaurant,175
July,Saturday,Afternoon,Eating,Home,Restaurant,590
July,Saturday,Afternoon,Recreation (Social Gathering),Home,Pub,723
July,Saturday,Evening,Going Back to Home,Pub,Home,1450
July,Saturday,Evening,Coming Back From Restaurant,Restaurant,Home,877
July,Saturday,Evening,Coming Back From Restaurant,Restaurant,Pub,198
July,Saturday,Evening,Coming Back From Restaurant,Restaurant,Work,167
July,Saturday,Evening,Eating,Home,Restaurant,805
July,Saturday,Evening,Eating,Pub,Restaurant,191
July,Saturday,Evening,Eating,Work,Restaurant,137
July,Saturday,Evening,Recreation (Social Gathering),Home,Pub,1518
July,Saturday,Evening,Work/Home Commute,Work,Home,535
July,Saturday,Night,Going Back to Home,Pub,Home,2204
July,Saturday,Night,Going Back to Home,Restaurant,Home,56
July,Saturday,Night,Eating,Home,Restaurant,671
July,Saturday,Night,Eating,Pub,Restaurant,213
July,Saturday,Night,Coming Back From Restaurant,Restaurant,Pub,221
July,Saturday,Night,Coming Back From Restaurant,Restaurant,Home,713
July,Saturday,Night,Recreation (Social Gathering),Home,Pub,1515
July,Sunday,Morning,Eating,Home,Restaurant,2179
July,Sunday,Morning,Eating,Pub,Restaurant,35
July,Sunday,Morning,Eating,Work,Restaurant,76
July,Sunday,Morning,Recreation (Social Gathering),Home,Pub,2348
July,Sunday,Morning,Coming Back From Restaurant,Restaurant,Pub,27
July,Sunday,Morning,Coming Back From Restaurant,Restaurant,Home,2003
July,Sunday,Morning,Coming Back From Restaurant,Restaurant,Work,50
July,Sunday,Morning,Going Back to Home,Pub,Home,1691
July,Sunday,Morning,Going Back to Home,Restaurant,Home,110
July,Sunday,Morning,Work/Home Commute,Home,Work,520
July,Sunday,Afternoon,Going Back to Home,Pub,Home,731
July,Sunday,Afternoon,Recreation (Social Gathering),Home,Pub,701
July,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Home,500
July,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,123
July,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Work,172
July,Sunday,Afternoon,Eating,Pub,Restaurant,152
July,Sunday,Afternoon,Eating,Home,Restaurant,589
July,Sunday,Afternoon,Eating,Work,Restaurant,191
July,Sunday,Evening,Going Back to Home,Pub,Home,1413
July,Sunday,Evening,Eating,Home,Restaurant,807
July,Sunday,Evening,Eating,Work,Restaurant,128
July,Sunday,Evening,Eating,Pub,Restaurant,211
July,Sunday,Evening,Coming Back From Restaurant,Restaurant,Home,860
July,Sunday,Evening,Coming Back From Restaurant,Restaurant,Pub,228
July,Sunday,Evening,Coming Back From Restaurant,Restaurant,Work,173
July,Sunday,Evening,Recreation (Social Gathering),Home,Pub,1527
July,Sunday,Evening,Work/Home Commute,Work,Home,515
July,Sunday,Night,Going Back to Home,Pub,Home,2304
July,Sunday,Night,Going Back to Home,Restaurant,Home,49
July,Sunday,Night,Eating,Home,Restaurant,598
July,Sunday,Night,Eating,Pub,Restaurant,238
July,Sunday,Night,Coming Back From Restaurant,Restaurant,Home,658
July,Sunday,Night,Coming Back From Restaurant,Restaurant,Pub,250
July,Sunday,Night,Work/Home Commute,Work,Home,5
July,Sunday,Night,Recreation (Social Gathering),Home,Pub,1601
July,Monday,Morning,Eating,Home,Restaurant,100
July,Monday,Morning,Eating,Work,Restaurant,433
July,Monday,Morning,Going Back to Home,Pub,Home,239
July,Monday,Morning,Going Back to Home,Restaurant,Home,12
July,Monday,Morning,Coming Back From Restaurant,Restaurant,Home,96
July,Monday,Morning,Coming Back From Restaurant,Restaurant,Work,222
July,Monday,Morning,Coming Back From Restaurant,Restaurant,Pub,2
July,Monday,Morning,Work/Home Commute,Home,Work,3336
July,Monday,Morning,Recreation (Social Gathering),Home,Pub,114
July,Monday,Afternoon,Eating,Work,Restaurant,1316
July,Monday,Afternoon,Eating,Home,Restaurant,29
July,Monday,Afternoon,Eating,Pub,Restaurant,13
July,Monday,Afternoon,Going Back to Home,Pub,Home,40
July,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Home,23
July,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,12
July,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Work,1299
July,Monday,Afternoon,Recreation (Social Gathering),Home,Pub,32
July,Monday,Evening,Eating,Work,Restaurant,890
July,Monday,Evening,Eating,Pub,Restaurant,52
July,Monday,Evening,Eating,Home,Restaurant,342
July,Monday,Evening,Going Back to Home,Pub,Home,108
July,Monday,Evening,Coming Back From Restaurant,Restaurant,Pub,29
July,Monday,Evening,Coming Back From Restaurant,Restaurant,Work,1117
July,Monday,Evening,Coming Back From Restaurant,Restaurant,Home,231
July,Monday,Evening,Work/Home Commute,Work,Home,3330
July,Monday,Evening,Recreation (Social Gathering),Home,Pub,667
July,Monday,Night,Going Back to Home,Pub,Home,1490
July,Monday,Night,Going Back to Home,Restaurant,Home,49
July,Monday,Night,Recreation (Social Gathering),Home,Pub,1035
July,Monday,Night,Eating,Pub,Restaurant,188
July,Monday,Night,Eating,Home,Restaurant,525
July,Monday,Night,Coming Back From Restaurant,Restaurant,Work,1
July,Monday,Night,Coming Back From Restaurant,Restaurant,Home,597
July,Monday,Night,Coming Back From Restaurant,Restaurant,Pub,198
July,Monday,Night,Work/Home Commute,Work,Home,6
July,Tuesday,Morning,Eating,Pub,Restaurant,6
July,Tuesday,Morning,Eating,Home,Restaurant,106
July,Tuesday,Morning,Eating,Work,Restaurant,431
July,Tuesday,Morning,Recreation (Social Gathering),Home,Pub,78
July,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Pub,5
July,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Home,105
July,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Work,212
July,Tuesday,Morning,Going Back to Home,Pub,Home,173
July,Tuesday,Morning,Going Back to Home,Restaurant,Home,13
July,Tuesday,Morning,Work/Home Commute,Home,Work,3340
July,Tuesday,Afternoon,Eating,Work,Restaurant,1333
July,Tuesday,Afternoon,Eating,Home,Restaurant,22
July,Tuesday,Afternoon,Eating,Pub,Restaurant,1
July,Tuesday,Afternoon,Going Back to Home,Pub,Home,29
July,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,2
July,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Work,1324
July,Tuesday,Afternoon,Coming Back From Restaurant,Restaurant,Home,15
July,Tuesday,Afternoon,Recreation (Social Gathering),Home,Pub,18
July,Tuesday,Evening,Eating,Work,Restaurant,884
July,Tuesday,Evening,Eating,Home,Restaurant,363
July,Tuesday,Evening,Eating,Pub,Restaurant,39
July,Tuesday,Evening,Going Back to Home,Pub,Home,71
July,Tuesday,Evening,Recreation (Social Gathering),Home,Pub,496
July,Tuesday,Evening,Work/Home Commute,Work,Home,3329
July,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Work,1110
July,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Pub,23
July,Tuesday,Evening,Coming Back From Restaurant,Restaurant,Home,253
July,Tuesday,Night,Going Back to Home,Pub,Home,1147
July,Tuesday,Night,Going Back to Home,Restaurant,Home,54
July,Tuesday,Night,Eating,Home,Restaurant,566
July,Tuesday,Night,Eating,Pub,Restaurant,131
July,Tuesday,Night,Coming Back From Restaurant,Restaurant,Pub,130
July,Tuesday,Night,Coming Back From Restaurant,Restaurant,Home,638
July,Tuesday,Night,Coming Back From Restaurant,Restaurant,Work,2
July,Tuesday,Night,Recreation (Social Gathering),Home,Pub,837
July,Tuesday,Night,Work/Home Commute,Work,Home,11
July,Wednesday,Morning,Eating,Home,Restaurant,106
July,Wednesday,Morning,Eating,Work,Restaurant,410
July,Wednesday,Morning,Eating,Pub,Restaurant,8
July,Wednesday,Morning,Recreation (Social Gathering),Home,Pub,94
July,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Home,107
July,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Work,200
July,Wednesday,Morning,Coming Back From Restaurant,Restaurant,Pub,3
July,Wednesday,Morning,Going Back to Home,Pub,Home,172
July,Wednesday,Morning,Going Back to Home,Restaurant,Home,7
July,Wednesday,Morning,Work/Home Commute,Home,Work,3332
July,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Home,18
July,Wednesday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,6
